# Residual cross-sections stored in JENDL-4.0/HE
# p + O-16

# Production of neutrons
# E_in [eV]   sigma[barns]
1.200000e+08  5.335166e-06
1.300000e+08  7.177132e-06
1.400000e+08  8.977363e-06
1.500000e+08  1.074093e-05
2.000000e+08  2.738941e-05


# Production of Be-12
# E_in [eV]   sigma[barns]
5.545800e+06  0.000000e+00
6.000000e+06  0.000000e+00
7.000000e+06  0.000000e+00
8.000000e+06  0.000000e+00
9.000000e+06  0.000000e+00
1.000000e+07  0.000000e+00
1.100000e+07  0.000000e+00
1.200000e+07  0.000000e+00
1.300000e+07  0.000000e+00
1.400000e+07  0.000000e+00
1.500000e+07  0.000000e+00
1.600000e+07  0.000000e+00
1.800000e+07  0.000000e+00
2.000000e+07  0.000000e+00
2.200000e+07  0.000000e+00
2.400000e+07  0.000000e+00
2.600000e+07  0.000000e+00
2.800000e+07  0.000000e+00
3.000000e+07  0.000000e+00
3.200000e+07  0.000000e+00
3.400000e+07  0.000000e+00
3.600000e+07  0.000000e+00
3.800000e+07  0.000000e+00
4.000000e+07  0.000000e+00
4.200000e+07  0.000000e+00
4.400000e+07  0.000000e+00
4.600000e+07  0.000000e+00
4.800000e+07  0.000000e+00
5.000000e+07  0.000000e+00
5.500000e+07  0.000000e+00
6.000000e+07  0.000000e+00
6.500000e+07  0.000000e+00
7.000000e+07  0.000000e+00
8.000000e+07  0.000000e+00
9.000000e+07  0.000000e+00
1.000000e+08  0.000000e+00
1.100000e+08  0.000000e+00
1.200000e+08  0.000000e+00
1.300000e+08  0.000000e+00
1.400000e+08  0.000000e+00
1.500000e+08  1.745445e-05
2.000000e+08  3.626890e-05


# Production of B-6
# E_in [eV]   sigma[barns]
5.545800e+06  0.000000e+00
6.000000e+06  0.000000e+00
7.000000e+06  0.000000e+00
8.000000e+06  0.000000e+00
9.000000e+06  0.000000e+00
1.000000e+07  0.000000e+00
1.100000e+07  0.000000e+00
1.200000e+07  0.000000e+00
1.300000e+07  0.000000e+00
1.400000e+07  0.000000e+00
1.500000e+07  0.000000e+00
1.600000e+07  0.000000e+00
1.800000e+07  0.000000e+00
2.000000e+07  0.000000e+00
2.200000e+07  0.000000e+00
2.400000e+07  0.000000e+00
2.600000e+07  0.000000e+00
2.800000e+07  0.000000e+00
3.000000e+07  0.000000e+00
3.200000e+07  0.000000e+00
3.400000e+07  0.000000e+00
3.600000e+07  0.000000e+00
3.800000e+07  0.000000e+00
4.000000e+07  0.000000e+00
4.200000e+07  0.000000e+00
4.400000e+07  0.000000e+00
4.600000e+07  0.000000e+00
4.800000e+07  0.000000e+00
5.000000e+07  0.000000e+00
5.500000e+07  0.000000e+00
6.000000e+07  0.000000e+00
6.500000e+07  0.000000e+00
7.000000e+07  0.000000e+00
8.000000e+07  0.000000e+00
9.000000e+07  0.000000e+00
1.000000e+08  0.000000e+00
1.100000e+08  0.000000e+00
1.200000e+08  0.000000e+00
1.300000e+08  0.000000e+00
1.400000e+08  0.000000e+00
1.500000e+08  4.027950e-06
2.000000e+08  8.731434e-06


# Production of B-8
# E_in [eV]   sigma[barns]
5.545800e+06  0.000000e+00
6.000000e+06  0.000000e+00
7.000000e+06  0.000000e+00
8.000000e+06  0.000000e+00
9.000000e+06  0.000000e+00
1.000000e+07  0.000000e+00
1.100000e+07  0.000000e+00
1.200000e+07  0.000000e+00
1.300000e+07  0.000000e+00
1.400000e+07  0.000000e+00
1.500000e+07  0.000000e+00
1.600000e+07  0.000000e+00
1.800000e+07  0.000000e+00
