# Residual cross-sections stored in JENDL-4.0/HE
# p + N-14

# Production of neutrons
# E_in [eV]   sigma[barns]
3.800000e+07  0.000000e+00
4.000000e+07  0.000000e+00
4.200000e+07  0.000000e+00
4.400000e+07  0.000000e+00
4.600000e+07  0.000000e+00
4.800000e+07  0.000000e+00
5.000000e+07  0.000000e+00
5.500000e+07  0.000000e+00
6.000000e+07  0.000000e+00
6.500000e+07  0.000000e+00
7.000000e+07  0.000000e+00
8.000000e+07  0.000000e+00
9.000000e+07  0.000000e+00
1.000000e+08  0.000000e+00
1.100000e+08  0.000000e+00
1.200000e+08  0.000000e+00
1.300000e+08  0.000000e+00
1.400000e+08  0.000000e+00
1.500000e+08  2.881914e-04
2.000000e+08  3.255940e-04


# Production of Li-9
# E_in [eV]   sigma[barns]
2.479400e+06  0.000000e+00
3.000000e+06  0.000000e+00
4.000000e+06  0.000000e+00
5.000000e+06  0.000000e+00
6.000000e+06  0.000000e+00
7.000000e+06  0.000000e+00
8.000000e+06  0.000000e+00
9.000000e+06  0.000000e+00
1.000000e+07  0.000000e+00
1.100000e+07  0.000000e+00
1.200000e+07  0.000000e+00
1.300000e+07  0.000000e+00
1.400000e+07  0.000000e+00
1.500000e+07  0.000000e+00
1.600000e+07  0.000000e+00
1.800000e+07  0.000000e+00
2.000000e+07  0.000000e+00
2.200000e+07  0.000000e+00
2.400000e+07  0.000000e+00
2.600000e+07  0.000000e+00
2.800000e+07  0.000000e+00
3.000000e+07  0.000000e+00
3.200000e+07  0.000000e+00
3.400000e+07  0.000000e+00
3.600000e+07  0.000000e+00
3.800000e+07  0.000000e+00
4.000000e+07  0.000000e+00
4.200000e+07  0.000000e+00
4.400000e+07  0.000000e+00
4.600000e+07  0.000000e+00
4.800000e+07  0.000000e+00
5.000000e+07  0.000000e+00
5.500000e+07  0.000000e+00
6.000000e+07  0.000000e+00
6.500000e+07  0.000000e+00
7.000000e+07  0.000000e+00
8.000000e+07  0.000000e+00
9.000000e+07  0.000000e+00
1.000000e+08  0.000000e+00
1.100000e+08  0.000000e+00
1.200000e+08  0.000000e+00
1.300000e+08  0.000000e+00
1.400000e+08  0.000000e+00
1.500000e+08  4.640370e-05
2.000000e+08  1.050697e-04


# Production of Be-6
# E_in [eV]   sigma[barns]
2.479400e+06  0.000000e+00
3.000000e+06  0.000000e+00
4.000000e+06  0.000000e+00
5.000000e+06  0.000000e+00
6.000000e+06  0.000000e+00
7.000000e+06  0.000000e+00
8.000000e+06  0.000000e+00
9.000000e+06  0.000000e+00
1.000000e+07  0.000000e+00
1.100000e+07  0.000000e+00
1.200000e+07  0.000000e+00
1.300000e+07  0.000000e+00
1.400000e+07  0.000000e+00
1.500000e+07  0.000000e+00
1.600000e+07  0.000000e+00
1.800000e+07  0.000000e+00
2.000000e+07  0.000000e+00
2.200000e+07  0.000000e+00
2.400000e+07  0.000000e+00
2.600000e+07  0.000000e+00
2.800000e+07  0.000000e+00
3.000000e+07  0.000000e+00
3.200000e+07  0.000000e+00
3.400000e+07  0.000000e+00
3.600000e+07  0.000000e+00
3.800000e+07  0.000000e+00
4.000000e+07  0.000000e+00
4.200000e+07  0.000000e+00
4.400000e+07  0.000000e+00
4.600000e+07  0.000000e+00
4.800000e+07  0.000000e+00
5.000000e+07  0.000000e+00
5.500000e+07  0.000000e+00
6.000000e+07  0.000000e+00
6.500000e+07  0.000000e+00
7.000000e+07  0.000000e+00
8.000000e+07  0.000000e+00
9.000000e+07  0.000000e+00
1.000000e+08  0.000000e+00
1.100000e+08  0.000000e+00
1.200000e+08  0.000000e+00
1.300000e+08  0.000000e+00
1.400000e+08  0.000000e+00
1.500000e+08  5.605079e-04
2.000000e+08  6.212553e-04


# Production of Be-7
# E_in [eV]   sigma[barns]
1.122000e+07  0.000000e+00
1.200000e+07  8.802835e-04
1.300000e+07  1.993877e-03
1.400000e+07  3.000014e-03
1.500000e+07  1.300016e-02
1.600000e+07  2.200003e-02
1.800000e+07  4.200007e-02
2.000000e+07  4.226298e-02
2.200000e+07  4.324637e-02
2.400000e+07  3.915318e-02
2.600000e+07  3.364661e-02
2.800000e+07  2.782460e-02
3.000000e+07  2.168467e-02
3.200000e+07  1.700210e-02
3.400000e+07  1.397034e-02
3.600000e+07  1.192070e-02
3.800000e+07  1.036143e-02
4.000000e+07  9.873633e-03
4.200000e+07  9.999927e-03
4.400000e+07  1.010013e-02
4.600000e+07  1.024315e-02
4.800000e+07  1.084054e-02
5.000000e+07  1.056905e-02
5.500000e+07  1.125304e-02
6.000000e+07  1.157163e-02
6.500000e+07  1.164267e-02
7.000000e+07  1.218678e-02
8.000000e+07  1.164666e-02
9.000000e+07  1.115199e-02
1.000000e+08  1.072376e-02
1.100000e+08  1.047687e-02
1.200000e+08  1.031838e-02
1.300000e+08  1.032891e-02
1.400000e+08  1.038244e-02
1.500000e+08  1.030309e-02
2.000000e+08  9.934599e-03


# Production of Be-9
# E_in [eV]   sigma[barns]
2.479400e+06  0.000000e+00
3.000000e+06  0.000000e+00
4.000000e+06  0.000000e+00
5.000000e+06  0.000000e+00
6.000000e+06  0.000000e+00
7.000000e+06  0.000000e+00
8.000000e+06  0.000000e+00
9.000000e+06  0.000000e+00
1.000000e+07  0.000000e+00
1.100000e+07  0.000000e+00
1.200000e+07  0.000000e+00
1.300000e+07  0.000000e+00
1.400000e+07  0.000000e+00
1.500000e+07  0.000000e+00
1.600000e+07  0.000000e+00
1.800000e+07  0.000000e+00
2.000000e+07  0.000000e+00
2.200000e+07  0.000000e+00
2.400000e+07  0.000000e+00
2.600000e+07  0.000000e+00
2.800000e+07  0.000000e+00
3.000000e+07  0.000000e+00
3.200000e+07  0.000000e+00
3.400000e+07  0.000000e+00
3.600000e+07  0.000000e+00
3.800000e+07  0.000000e+00
4.000000e+07  0.000000e+00
4.200000e+07  0.000000e+00
4.400000e+07  0.000000e+00
4.600000e+07  0.000000e+00
4.800000e+07  0.000000e+00
5.000000e+07  0.000000e+00
5.500000e+07  0.000000e+00
6.000000e+07  0.000000e+00
6.500000e+07  0.000000e+00
7.000000e+07  0.000000e+00
8.000000e+07  0.000000e+00
9.000000e+07  0.000000e+00
1.000000e+08  0.000000e+00
1.100000e+08  0.000000e+00
1.200000e+08  0.000000e+00
1.300000e+08  0.000000e+00
1.400000e+08  0.000000e+00
1.500000e+08  1.901331e-03
2.000000e+08  1.865599e-03


# Production of Be-10
# E_in [eV]   sigma[barns]
3.426600e+07  0.000000e+00
3.600000e+07  1.072405e-05
3.800000e+07  2.250004e-05
4.000000e+07  2.912384e-05
4.200000e+07  3.545452e-05
4.400000e+07  4.926917e-05
4.600000e+07  6.504725e-05
4.800000e+07  8.481516e-05
5.000000e+07  1.053500e-04
5.500000e+07  1.564882e-04
6.000000e+07  2.079691e-04
6.500000e+07  2.770060e-04
7.000000e+07  3.227061e-04
8.000000e+07  4.043687e-04
9.000000e+07  4.751875e-04
1.000000e+08  4.868182e-04
1.100000e+08  5.154411e-04
1.200000e+08  5.435212e-04
