target,target_z,target_a,energy_MeV,areal_mg_cm2,density_g_cm3,thickness_mm,nuclear_areal_density_cm2,n_protons,n_inelastic,n_c11,n_n13,n_o15,mean_continuous_loss_MeV,mean_inelastic_energy_MeV,mean_c11_energy_MeV,mean_n13_energy_MeV,mean_o15_energy_MeV,physics_list,geant4_version,seed,threads,batch_count,stopping_condition
O16,8,16,8,10,1.14,0.0877192982456,3.763837975e+20,100000,12,0,0,0,0.480365132394,8.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3828000,8,1,proton_cap
O16,8,16,9,10,1.14,0.0877192982456,3.763837975e+20,100000,12,0,0,0,0.436252128042,9.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3829000,8,1,proton_cap
O16,8,16,10,10,1.14,0.0877192982456,3.763837975e+20,100000,9,0,0,0,0.400215963815,10.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3830000,8,1,proton_cap
O16,8,16,11,10,1.14,0.0877192982456,3.763837975e+20,100000,12,0,2,0,0.37013555427899997,11.0,0.0,11.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3831000,8,1,proton_cap
O16,8,16,12,10,1.14,0.0877192982456,3.763837975e+20,100000,9,0,1,0,0.344682230876,12.0,0.0,12.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3832000,8,1,proton_cap
O16,8,16,14,10,1.14,0.0877192982456,3.763837975e+20,100000,11,0,0,0,0.30403845382,14.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3834000,8,1,proton_cap
O16,8,16,16,10,1.14,0.0877192982456,3.763837975e+20,100000,22,0,0,0,0.272709481868,16.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3836000,8,1,proton_cap
O16,8,16,18,20,1.14,0.175438596491,7.52767595e+20,100000,43,0,0,0,0.498277889601,18.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3838000,8,1,proton_cap
O16,8,16,20,20,1.14,0.175438596491,7.52767595e+20,100000,49,0,1,1,0.456357817136,20.0,0.0,20.0,20.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3840000,8,1,proton_cap
O16,8,16,22,20,1.14,0.175438596491,7.52767595e+20,100000,38,0,0,1,0.422288698597,22.0,0.0,0.0,22.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3842000,8,1,proton_cap
O16,8,16,24,20,1.14,0.175438596491,7.52767595e+20,100000,35,0,0,0,0.393586168023,24.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3844000,8,1,proton_cap
O16,8,16,26,20,1.14,0.175438596491,7.52767595e+20,100000,35,0,0,3,0.36866622161,26.0,0.0,0.0,26.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3846000,8,1,proton_cap
O16,8,16,28,20,1.14,0.175438596491,7.52767595e+20,100000,35,0,0,9,0.346742298115,28.0,0.0,0.0,28.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3848000,8,1,proton_cap
O16,8,16,30,20,1.14,0.175438596491,7.52767595e+20,100000,33,0,0,8,0.327699240332,30.0,0.0,0.0,30.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3850000,8,1,proton_cap
O16,8,16,35,20,1.14,0.175438596491,7.52767595e+20,100000,49,3,0,8,0.288567850616,35.0,35.0,0.0,35.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3855000,8,1,proton_cap
O16,8,16,40,20,1.14,0.175438596491,7.52767595e+20,100000,33,4,0,7,0.259199123968,40.0,40.0,0.0,40.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3860000,8,1,proton_cap
O16,8,16,45,40,1.14,0.350877192982,1.50553519e+21,100000,74,7,0,12,0.474303215482,45.0,45.0,0.0,45.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3865000,8,1,proton_cap
O16,8,16,50,40,1.14,0.350877192982,1.50553519e+21,100000,71,7,0,19,0.43426863157,50.0,50.0,0.0,50.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3870000,8,1,proton_cap
O16,8,16,55,40,1.14,0.350877192982,1.50553519e+21,100000,56,3,2,14,0.40321331098499996,55.0,55.0,55.0,55.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3875000,8,1,proton_cap
