channel_id,target,residual,threshold_MeV,energy_MeV,sigma_mb
p_C12_x_C11,C12,C11,17.9,58.01335559265443,83.86762538727541
p_C12_x_C11,C12,C11,17.9,58.25542570951586,83.78360160629853
p_C12_x_C11,C12,C11,17.9,58.497495826377296,83.66794566872568
p_C12_x_C11,C12,C11,17.9,58.73956594323873,83.54368247574754
p_C12_x_C11,C12,C11,17.9,58.981636060100165,83.39656221339072
p_C12_x_C11,C12,C11,17.9,59.223706176961606,83.23195915428064
p_C12_x_C11,C12,C11,17.9,59.46577629382304,83.04668384885396
p_C12_x_C11,C12,C11,17.9,59.707846410684475,82.84877209882707
p_C12_x_C11,C12,C11,17.9,59.94991652754591,82.62941589179765
p_C12_x_C11,C12,C11,17.9,60.19198664440734,82.38647948411688
p_C12_x_C11,C12,C11,17.9,60.434056761268785,82.11185866524306
p_C12_x_C11,C12,C11,17.9,60.67612687813022,81.8177176916972
p_C12_x_C11,C12,C11,17.9,60.91819699499165,81.5032375297157
p_C12_x_C11,C12,C11,17.9,61.16026711185309,81.18618922053781
p_C12_x_C11,C12,C11,17.9,61.40233722871452,80.84780479995302
p_C12_x_C11,C12,C11,17.9,61.64440734557597,80.51231853862683
p_C12_x_C11,C12,C11,17.9,61.8864774624374,80.16946835418165
p_C12_x_C11,C12,C11,17.9,62.12854757929883,79.8159496637821
p_C12_x_C11,C12,C11,17.9,62.37061769616027,79.4594630592085
p_C12_x_C11,C12,C11,17.9,62.6126878130217,79.12046467113271
p_C12_x_C11,C12,C11,17.9,62.85475792988314,78.77420514205349
p_C12_x_C11,C12,C11,17.9,63.09682804674458,78.40493652283723
p_C12_x_C11,C12,C11,17.9,63.33889816360601,78.06149850384762
p_C12_x_C11,C12,C11,17.9,63.580968280467445,77.72987933258383
p_C12_x_C11,C12,C11,17.9,63.82303839732888,77.41540675093687
p_C12_x_C11,C12,C11,17.9,64.06510851419031,77.1079612919898
p_C12_x_C11,C12,C11,17.9,64.30717863105176,76.81356999481271
p_C12_x_C11,C12,C11,17.9,64.5492487479132,76.53048341845553
p_C12_x_C11,C12,C11,17.9,64.79131886477462,76.27992583151728
p_C12_x_C11,C12,C11,17.9,65.03338898163605,76.0439726232323
p_C12_x_C11,C12,C11,17.9,65.27545909849749,75.81740970976736
