energy_MeV,sigma_sensitivity_mb
104.49081803005008,58.886222996519
104.73288814691152,58.81824414802945
104.97495826377296,58.74856236685276
105.21702838063439,58.677277552544375
105.45909849749583,58.60448927529174
105.70116861435726,58.530296750498664
105.9432387312187,58.454798815035815
106.18530884808014,58.37809390514697
106.42737896494157,58.300280036005624
106.66944908180301,58.22145478290939
106.91151919866444,58.14171526410504
107.15358931552588,58.06115812523003
107.39565943238732,57.97987952536123
107.63772954924875,57.89797512465609
107.87979966611019,57.81554007357478
108.12186978297161,57.7326690036687
108.36393989983306,57.64945601992137
108.6060100166945,57.56599469462766
108.84808013355592,57.48237806279604
109.09015025041737,57.39869861905874
109.3322203672788,57.31504831607527
109.57429048414023,57.2315185644138
109.81636060100168,57.14820023389413
110.0584307178631,57.065183438628466
110.30050083472455,56.982529053816144
110.54257095158597,56.90024058563946
110.78464106844741,56.81831478083797
111.02671118530886,56.736748396295134
111.26878130217028,56.65553819901958
111.51085141903172,56.57468096612537
111.75292153589315,56.49417348481154
111.99499165275459,56.41401255234094
112.23706176961603,56.33419497601866
112.47913188647746,56.254717573169465
112.7212020033389,56.17557717111503
112.96327212020033,56.096770607150304
113.20534223706177,56.018294728519564
113.44741235392321,55.94014639239194
113.68948247078464,55.862322465836456
113.93155258764608,55.78481982579666
114.17362270450751,55.70763535906506
114.41569282136895,55.63076596225657
114.65776293823039,55.554208541782614
114.89983305509182,55.477960013823925
115.14190317195326,55.40201730430369
115.38397328881469,55.32637734886044
115.62604340567613,55.25103709282016
115.86811352253757,55.17599349116886
116.110183639399,55.10124350852458
116.35225375626044,55.02678411910945
116.59432387312187,54.95261230672119
116.8363939899833,54.87872506470533
117.07846410684475,54.805119395926305
117.32053422370618,54.731792312739444
117.56260434056762,54.6587408369621
117.80467445742904,54.58596199984561
