profile_label,quantity,depth_low_mm,depth_high_mm,depth_mm,expected_count_run,expected_count_per_proton,expected_count_per_Gy
N13,production_nuclei,30.0,32.0,31.0,3.4798864710674984,3.4798864710674984e-06,347.98864710674985
N13,production_nuclei,32.0,34.0,33.0,3.4798654101664255,3.4798654101664255e-06,347.98654101664255
N13,production_nuclei,34.0,36.0,35.0,3.481709140038599,3.481709140038599e-06,348.1709140038599
N13,production_nuclei,36.0,38.0,37.0,3.4845036236563085,3.4845036236563086e-06,348.45036236563084
N13,production_nuclei,38.0,40.0,39.0,3.4871638809681236,3.4871638809681236e-06,348.71638809681235
N13,production_nuclei,40.0,42.0,41.0,3.4886807177394856,3.4886807177394856e-06,348.86807177394854
N13,production_nuclei,42.0,44.0,43.0,3.4883077535970224,3.4883077535970225e-06,348.8307753597022
N13,production_nuclei,44.0,46.0,45.0,3.4856742942402534,3.4856742942402533e-06,348.56742942402536
N13,production_nuclei,46.0,48.0,47.0,3.480836913960098,3.480836913960098e-06,348.0836913960098
N13,production_nuclei,48.0,50.0,49.0,3.4742818893952916,3.4742818893952914e-06,347.42818893952915
N13,production_nuclei,50.0,52.0,51.0,3.466874549570131,3.4668745495701308e-06,346.6874549570131
N13,production_nuclei,52.0,54.0,53.0,3.459744239297617,3.459744239297617e-06,345.9744239297617
N13,production_nuclei,54.0,56.0,55.0,3.4541099415499272,3.4541099415499273e-06,345.4109941549927
N13,production_nuclei,56.0,58.0,57.0,3.451065641368303,3.451065641368303e-06,345.1065641368303
N13,production_nuclei,58.0,60.0,59.0,3.451339754121909,3.4513397541219087e-06,345.13397541219086
N13,production_nuclei,60.0,62.0,61.0,3.455076025146064,3.455076025146064e-06,345.5076025146064
N13,production_nuclei,62.0,64.0,63.0,3.4617623355224767,3.4617623355224765e-06,346.17623355224765
N13,production_nuclei,64.0,66.0,65.0,3.4704165751066656,3.4704165751066655e-06,347.04165751066654
N13,production_nuclei,66.0,68.0,67.0,3.4799531045369965,3.4799531045369963e-06,347.99531045369963
